                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5828,                 3.9419,                 1.1802,                0.00146,                0.48627,                0.00412,                0.00269,                   1.42,                 3.9719,                 1.0893,             0.00020006,             0.00020006,             0.00020006
                      2,                 1.4587,                 2.5974,                 1.0745,                  0.003,                0.79902,                 0.0722,                0.05627,                 1.4098,                 3.4302,                 1.0322,              0.0003939,              0.0003939,              0.0003939
                      3,                 1.3744,                 1.8122,                  1.056,                 0.0062,                0.87745,                0.32598,                0.20896,                 1.3348,                 2.9536,                 1.0153,             0.00056651,             0.00056651,             0.00056651
                      4,                 1.3448,                 1.5178,                 1.0312,                0.00752,                0.62941,                0.22812,                0.17513,                 1.5863,                 3.3834,                 1.1419,             0.00071791,             0.00071791,             0.00071791
                      5,                 1.3756,                 1.4919,                 1.0314,                 0.9112,                0.18468,                0.39025,                0.21845,                 1.5553,                  2.812,                 1.1712,             0.00084808,             0.00084808,             0.00084808
                      6,                 1.3625,                 1.4427,                 1.0448,                0.54546,                0.28713,                0.55421,                0.34542,                 1.3904,                 2.4243,                 1.0479,             0.00095704,             0.00095704,             0.00095704
                      7,                 1.3139,                 1.3518,                 1.0259,                0.50191,                0.58725,                0.56749,                0.37314,                 1.4666,                 1.9511,                 1.0566,              0.0010046,              0.0010046,              0.0010046
                      8,                 1.2509,                 1.3041,                 1.0196,                0.59921,                0.58235,                0.57647,                0.37053,                 1.1804,                 1.8485,                0.95021,             0.00093385,             0.00093385,             0.00093385
                      9,                 1.2935,                 1.3225,                 1.0257,                 0.5551,                0.61973,                0.57897,                 0.3752,                 1.2438,                 1.7492,                0.95545,             0.00086312,             0.00086312,             0.00086312
                     10,                 1.2575,                 1.2248,                  1.028,                0.36675,                0.69118,                0.46447,                0.28145,                 1.2604,                 1.5976,                0.98866,             0.00079238,             0.00079238,             0.00079238
                     11,                  1.172,                 1.2755,                 1.0372,                0.46142,                0.58431,                0.52546,                0.30359,                  1.537,                 2.0499,                 1.0844,             0.00072164,             0.00072164,             0.00072164
                     12,                 1.1532,                  1.162,                 1.0514,                0.55618,                0.57886,                0.52707,                 0.3177,                 1.2453,                 1.7282,                0.99742,             0.00065091,             0.00065091,             0.00065091
                     13,                 1.1431,                 1.0616,                 1.0032,                0.50635,                0.55338,                0.49542,                0.30215,                 1.3086,                 1.7347,                 1.0113,             0.00058017,             0.00058017,             0.00058017
                     14,                 1.0846,                 1.0221,                0.98597,                 0.4603,                0.60069,                0.53785,                0.33267,                 1.2684,                 1.5891,                0.99414,             0.00050944,             0.00050944,             0.00050944
                     15,                 1.0972,                0.98238,                0.99176,                0.49206,                0.63529,                0.53384,                0.33487,                 1.3203,                 1.5924,                0.98489,              0.0004387,              0.0004387,              0.0004387
                     16,                 1.0356,                0.94325,                  0.958,                0.48032,                0.68824,                0.56708,                0.39004,                 1.2451,                 1.5318,                0.96577,             0.00036797,             0.00036797,             0.00036797
                     17,                 1.0627,                0.91522,                0.96444,                0.48137,                0.64223,                0.57307,                0.39571,                 1.1535,                 1.5134,                0.95089,             0.00029723,             0.00029723,             0.00029723
                     18,                 1.0386,                0.87657,                0.97469,                0.52708,                0.70196,                0.56406,                 0.3579,                 1.3146,                 1.5562,                0.97403,              0.0002265,              0.0002265,              0.0002265
                     19,                 1.0302,                0.91035,                0.97323,                0.54832,                0.58911,                0.55733,                0.35331,                 1.3265,                 1.4985,                0.97638,             0.00015576,             0.00015576,             0.00015576
                     20,                 1.0265,                0.87152,                0.97124,                0.46502,                0.69929,                0.55859,                0.35187,                 1.2562,                  1.499,                 0.9614,             8.5026e-05,             8.5026e-05,             8.5026e-05
